Username,Comment
@TheCentaury,"Point 1: correct. Point 2: correct. Point 3: correct. Point 4: correct. Point 5: correct. Point 6: correct. Point 7: incorrect (it's not due to development, it's due to other parameters like deadlines) 

I'll add one point : Don't trust others blindly even microsoft... You dynamically add a control like a TreeView in your application and then you dynamically add datas into it but a lot of data and then you see that your application is unresponsive while data is being added and even slowed down... You check on Microsoft and see a lot of examples telling you how to add nodes and so on... But these samples are lie. They work with very small projects... Then you have to find yourself that deactivating the treeview, adding the data and then reactivating the treeview is the solution and nowhere on microsoft they will tell you that.

Another example : Add Windows Forms to your powershell project and run it. When it's processing something, you can't move the form on the screen, it's like blocked... Solution, make a tick loop with asynchronous jobs. You can then move your form while code is running."
@KivonGaming,can i transition to IT even though i am electrical technician
@raycryst6581,🎉
@lordmuaddib,"polishing is important. what you must not do is polish the chunk of code you are currently developing and get stuck there. make things work and go forward first. then you can go back, clean the code and work on the details once the whole structure is up"
@guillermogallo8016,"Thank you very much, I agree completely."
@Somedeveloper5329,"No one cares if you’re using a clever algorithm either.

Most developers have at least once felt the urge to write some advanced sorting algorithm ”like a real programmer”. Please don’t. Just write a simple solution that’s easy to reason about. It’s far easier to maintain in the long run.

There’s no shame in writing simple code."
@ivankramarenko,"no its only your problem, dont tell what it's normal"
@CarlossHonkah,thanks man
@bonilsson6349,Thank's for the lesson :)
@alpocalipse,"I am nearly at the end of my life.. I couldn't find any job, I tried tried tried and so exhausted... I feel like I do not know anything. Anxiety and panic everywhere"
@Tasua1,"Giving a mental and physical rest helps the mind process and organize thoughts and meditate greatly
This is very useful, especially if you're facing a something that seems almost impossible to solve it"
@Timbone07,"Loved the video. I am just starting out.
Thank you"
@RobotMonkeytron,"Haha, I'm 46 and have been coding professionally for over 20 years, and I've stepped on every one of these rakes lol"
@grayegaran2108,"""Confidence is built by doing, not by waiting"" that hit hard, thanks man"
@baddestboy3032,So anyone who wants to start cording needs to have a computer (excluding smart phone)?
@leonelmessi3010,"I feel like I am not always ready. But I will start applying from today. Thanks for the video, especially 3:46 means a lot. 
I will get back to this video and edit the comment when I get a job."
@RealityTeachings,Thank you
@abdul-UIUX,This video deserves a subscription of this channel.
@Rajkumargameplay,Today I frist upload my frist gig. On fiverr.
@aethelwynn,"Know when to seek help, don't risk burning out just because you want to prove yourself, it's not worth it."
@PietarzPublicPlayground,thanks fot this
@ehsanniaziofficial7824,Very great video❤❤❤❤❤❤❤
@alphastrongman6879,This has really changed my life as an AI engineer. Stay blessed man.
@molokochris,"I feel like you're talking about me.. 😅I've got projects that I really love working on but haven't been able to finish just because I feel they aren't ""perfect enough"". for some reason, I have this idea that they have to look perfect and the code has to be perfect before I can consider them done and ready for the world. At the moment, Im not motivated to write code and have doubts about this app development career. I think you just made me realise that I'm the one standing in the way of myself.. Thanks for this.."
@mariopadilla1973,"half of the things he said is not just about coding, they can also be applied to life.
good great video bro<3"
@MinisterAbraham-o8f,I'm young and all you said have save me a lot....
@MinisterAbraham-o8f,Just got a New subscriber 🎉
@MinisterAbraham-o8f,Wow😂 one of the best video I ever watched on programming journey 😂
@MinisterAbraham-o8f,How not get the house burnt 😅😂
@wisdom6739,"I can't thank you enough for this video! I was putting unbearable pressure on myself, trying to force all the JavaScript documentation into my head. I also note the detox against perfection, thank you very much!"
@Stephenjojo-e9t,get it
@freedompirat3,"Motivational to the fullest !! 

Thank you for this video "
@ismail-zc2cy1xr3m,"You can't imagine how much I was in need to hear that
Thanks from heart ❤"
@fabiopereira1923,Hey Pete. So glad I found you. Your words really helped me! Thanks man
@viktor_1939_,"its true.... but its too late for me, I like coding and solving the tasks. But now I left IT burnout it real :("
@yuky9479,"The ""You'll never be ready"" hits hard. Really hard"
@bathika8644,This helped me more than you can think of  <3
@oqba12345,great
@Reichspeed48,you don't need to know everything
@muhammeduthman7907,"Thanks so much, i really needed to hear this considering i am new to coding"
@dinewithrossy,Just be willing to start. There's no perfect time.❤
@ravenonpsn8050,No company is going to hire someone in their 40s who just learned to code. Especially today.
@agbajeabdulazeez4222,"I wish I had known these earlier 
Thank you sir...this is helpful
I have been a python developer in data science for more than 5 yrs now....I know it right...but I need a mentor...looking forward to kink me up with any data guru out there ...thank you sir"
@saqibalikhan3729,thank you for the video
@AbdulaleemAkano-e2q,"Ok, these are the best advices I've heard. I just started learning"
@CleanCodr,"Agree to most of it but I think the part where you said ""Nobody cares about your code"" is not entirely true. Not writing a clean code would not organizing your wardrobe which may not seem an immediate problem but if it becomes a practice. Well! Good luck finding that one sock you lost!!!"
@sid2945,"Almost all of those points relates to my work life. At one point I started thinking is it what I wanted to do for the rest of my life. I was obsessed to write a perfect code which the client/manager doesn’t care. I learnt this in a hard way. Sometimes I felt super frustrated that I don’t know everything of what I am doing and thinking that I left behind in the race.

Thank you for bringing this “enlightened” video."
@ReneeCampbell-g3g,Global tournaments and award shows create reliable search spikes.
@TaildBeastlaid,all of it hits me... wow it really helps me...  thanks a lot✨
@PhilipGerad,Thank you fren!
@GentleGanymedian,"Brain battery....
That expression means a lot to me... thanks Pete."
@NurudeenAlowonle-g1d,Thanks you so much sir 🙏
@AG-qc1sn,Very helpful advice! Really Appreciated... 👍🏻
@Axollity,"Best 8mins I had spent! This is also motivating. Its masterpiece, thank you Pete!"
@Axollity,Everything!!!
@nebsthelegend1502,Thank you so much for the coding tips in this video! Problem solving and taking a break after coding was what I took away.
@SARUTO740,"i came across this video while taking a break from a huge project that while i am not that experienced in i am doing it anyway as a surprise for my sister and making sure no other people suffer the same i did before i picked up this project in C++ and it's a WhatsApp transfer app from Android To IOS and the code after trying my hardest after like damn near a week at this point the whole code works it's just the GUI and the UI that have a Problem which i am hopefully fixing in QT Creator and so i just wanna say thank you cuz while working on this project i realized that everything you said that would happen is correct and i have been doing it already without the video but for me it confirmed that i was at least in the right direction and btw the project is for my sister and it's a surprise for her, and yes i will release this project on github once i am sure everything works for everyone and making an installer for it, basically thank you for this video cuz it confirmed i was going in the right direction (btw i am 16)"
@JamelQue,💯
@myworld_pure,Honestly i think that I'm being blessed with people like you by my side.just started learning code a year ago now and i most say its has not been easy but i kept on pushing because i know i will eventualy get it .
@amastasatragama7480,when i try to coding why i can use tag in 2 different way but it work to generate? is it because some tag can use different ways?
@LØWLITx,"If ""nobody cares about your code"", then why do PR reviews exist in the first place?"
@suhasdhoke-m4z,Perfect answer
@paradoxine6287,Happy programmers day!!!
@paradoxine6287,"To be honest, coding is not just about creating things in various languages, it's all about translating existing models whether physical or abstract into code through planning."
@kalmik14,"i always wanted to learn the lua script roblox uses,i kind of got into it but gave up after getting to learning the hard parts,i dont know how i should get  myself to start learning again,like waitforchild,i stopped around there where i had to learn about those type of scripts"
@kunmimagnus-davies6901,You are Amazing Bro!. Everything you mentioned was needed and useful. God Bless You!
@godswillchinonsosonex,"Lolz… you really hit me hard here.😅😅😅😅😅😅 I suffered from all you listed for years. Although I am just 4plus in dev. Thank you for the reminder once again.

From my experience, just know and understand the syntax, even if not all then learn the principle of design in that language. Like in php now we are in PSR-12 standard, start applying it quickly as you dive into real life project little by little…….


Chat-GPT would save you but you would save yourself of embarrassment if you understand those codes you are using"
@NgetichTg,You will never be ready start anyway
@GerardMillionare18,Thank you for your video
@ranjithKumar-dk2te,Great Video More Valuable tips !!
@schoolroadentertainment7631,"I'm taking my first coding class this semester in applied statistics.
We're learning how to build and interpret regression models and I couldn't be more thankful to you for rhis video Sir🙌🏾
It leaves me feeling somewhat validated in being afraid of failing, while also giving me the courage to try anyways.
Thank you✌🏾"
@Silly-Psycho,Its peoples like him that I really wanted to be my guide throughtout my 4 years of college and I still want someone to guide me all the things that i had done wrong all this times...but no one really cares personally. Thanks for the video Pete..Much love.
@iGoodDriver,"id encourage younger people to ignore programming. I recently created a content managed blog using tiptap, astro and node/express. I have never used node/express in my career, just got AI to do the foundation work for me and I did the rest. AI probably saved me like a month in research and figuring out how to get the packages to work together."
@ItsSpagett,Not a professional. Perfection is sure the biggest trap but.. SOLID ? make it work than make it readable? Sure nobody cares about my code except me in two months.
@idegteke,"Before I was one of the most famous programmer of my time, even before I started to learn how to code, I was writing comments like this amongst 5241 hoping that someone will still like it."
@rosco6412,"Bro for real, every single thing you mentioned, I WAS EVERYWHERE! Thanks for your input, thanks for your insight and thanks for your clarification."
@itzaura__,Thank you so much for ur tips sir! Your words really encouraged me a lot...
@SamuelAmuzu-p4w,This was helpful. I thought I had to know everything but now I know better
@mraaaaaaa,The impostor syndrome NEVER goes away
@SoliderforChrist,"Okay, so i started learning JavaScript and I am at the point where i feel confused and stuck. I feel like i am not learning efficiently. Please can you help me?"
@SoliderforChrist,"the things which stood out for me were !. Learn how to learn , Practice by building and Avoiding Burnout (maximizing your energy)"
@arti5769,"I went on discord as I needed help with some topic. The other guy helped me with my actual problem, but also gave some tips and adjusted some code of mine which I didn't even ask. He made such MINOR (and unnecessary) changes and said, why this is better and this is better. While he tried to be nice and helpful I felt like I needed to learn to code perfect and better. Everything had to be perfect. And as I'm a perfectionist myself, that hurt my progress a lot. So, keep it mind guys, don't overdo it when helping others. Cheers."
@mariakorniets9539,🙏👏👏👏
@DreamingKayuno9,i owe you more than you think... thank you..
@Joeoneil1960,My background is Mechanical Engineering we were taught to research everything don't rely on memory I transitioned 20 plus years ago Electrical Engineers Managers I do great with in interviews IT degrees Managers not so much they expect you to have everything in memory. Security especially everything is out of date every 6 months.
@jalalhassoun7857,I was thinking of leaving coding but this video motivated me to continue thank you for making this masterpiece
@RunNRollYT,i think coding is being replaced by AI .....what do u think sir
@ThisIsRanaTK,This is literally what I needed to see and learn! Thank you♡
@CapJetr0nite,"Wonderful video
I really needed to hear this been coding since 2023 and it feels like i have gone nowhere
But looking back I've gone a long way from where I begun
Thanks Man 👌"
@WaymanSings_Codes,Thank you so much brother
@holidayiq1683,"Excellent Tips! Being a Mid level engineer with 5 Staff Engineers in team, I frequently feel Impostor syndrome. I'd say this tips are spot on. Building is the key."
@memphis-wastewater,"""How to say calm when nothing works."" Ooof, that hits hard."
@MahadevMurmu-x5i,"you missed 1 point: When writing for open source where many developers are involved , you need to write good elegant code so that other developer member can understand. So your good coding makes your contribution accepted by community or can be rejected."
@amanumar1605,"I don't know what to say.. thanks a lot. I'm relatively new to coding, I won't say I relate to all of these, especially not the perfection part. I remember once naming a variable what ever my fingers hit first, hoping VSCode would remember when I needed to reuse it😆😆
But this piece of advice has changed my perspective incredibly. Thanks a lot for this"
@arcanefinix7674,I love this dude😭🫶🏻
@CodingInSilence,"I've just begun my delve into the world of coding. The idea of formatting and making it look pretty is reminding me of base building. I can't help but focus on making it look pretty and consistant from room to room, roof to roof. Now it'll be line to line. I'm actually genuinely worried this will hinder my progress."
@kevinrickey3925,"Hi Friend.  I'd have a few items to add, but you hit it on the head.  I used to program more than I do now.  Now a days it's configuring linux file servers and Doing full everything on Streaming  Web servers using FSTAB, Javascript, PHP and so many libraries I cant count anymore.  I started with TRS-80 BASIC back in 1980.  I maxed out BASIC language, too slow.  I then taught myself the Zilog Z80 architecture, addressing modes and instruction set.  I graduated with computer programming honors in 1982.  I got an Atari box, so I had to learn the MOS 6502 chip.  Wow, the architecture was different on a 6502 than a Z-80.  I took me 6 months to really get the hang of Zero page addressing and how to make the 6502 really perform.  Now I deal with intel x86 and x64 code.  and Linux servers and Photoshop and web page development.   I build the boxes from scratch, configure the CLI Linux servers then I gotta put in SSL, streaming engines, I'm 61 now.  I still do it all as a hobby.  Resursive DNS Pi-Hole?  fucking OPNsense firewalls.  rooting phones..  I agree with everytihng you say, and more.  Love you!"
@mohammadtausifrafi8277,"I am just a noob, so I cannot wish to learn any of these earlier."
@RenaRory,5:37 you don’t know how much I feel after your review you absolutely helping me now
@RenaRory,1:25 THANK U SO MUCH !
@RenaRory,0:13 I am
@hsiao1955,"As an EE student, this vedio really relieve my anxiety, thanks a lot😢😢"
@thodorisdav6678,"As a new developer I must say thank you, I really needed to hear that, it took me 2 days to find an button with search icon so I could just delete it.. you feel dumb but then when you compete your task you feel very satisfied."
@umcasualplayer,"I think your advices can be applied to every profession. Im transitioning from marketing to programming and its hard to learn with so many program lenguages. Thanks for your vídeo, you help me a lot."
@lifeintel9,"What I never quite heard were :  

- Perfection is a lie (it made me learn Classes tho);

- ""The best developers take breaks and have boundaries"""
@roshansingh5592,"Saved a ton of my time that would've been just wasted, beating around the bush. Thanks!"
@Viper.482,Is full stack web development a good skill since ai is taking over everything
@Slim_mamah,"I actually gave up on coding but this video just made me realize the need for me to get up and move again.... Thank you very much Sir
You just got a subscriber"
@wilsonemmanuel1352,The perfection is my issue. Still developing an app but I end up refactoring everything anytime I introduce a new file 😢😂
@baoduyhoangnguyen571,"Love your comparison, turning coding into something you can feel in everyday life. That engineer brain switch really shows"
@JustinPresley,"Fantastic video! This all applies to other fields like network engineering as well. 

More people need to realize burnout is a huge problem that you don't want to experience. Rest is important!"
@akibhussain2489,In starting of my journey I also think that developer knows everything but I figured out with time and I'm glad that I know it in early days of my dev career
@timetraveller9271,"The one hour of tutorial and 4 hours of problem solving really makes a big difference for who ever is starting new, because that is how our brain reminders stuff and works."
@sawmkcsaw,"Engineer with 15+ years of experience here. I agree with almost everything you said, bro — solid take.
But I just hope that the guy with 1.7M views didn’t take the “perfection is a myth” idea too literally.
Yes, perfection is impossible — but we should still aim for it. Not to the point of burnout or over-engineering, of course, but striving for clean, maintainable code is critical. Why? Because it forces you to look at solutions from different angles and often leads to better long-term outcomes.
More importantly: maintenance costs.
No one wants to join a company and be stuck fixing a 1,000-line stored procedure or deciphering a component where someone scattered boolean flags across multiple files — just to change a button color that should’ve taken 5 minutes, but now takes 5 hours.
As devs, we wouldn’t want to work on that mess. And we shouldn’t leave it for others, either.
That “I won’t be here in 5 years, not my problem” mindset? It’s toxic. The client may not care about code quality, but the company should — because in the end, they’re paying for human hours. And I doubt they want to spend hundreds of dollars on something that should’ve been a 5-minute task.
So yeah — most of what you said is spot on, but I’d add this:
Always aim for clean, maintainable code. Maybe not perfection — but definitely professionalism."
@AmanoritseworTemituopeSamuel,"""The one who last"""
@AloanMoreira1,"And here is 10 years shrunk in less than a minute:
1- you don´t need to know everything
2- learn how to learn code
3- perfection is a trap
4- you´ll never feel ready -start anyway
5- the real skill is problem solving
6- people care about what your code does
7- protect your energy agains burnout"
@drewxx8527,"The first part is true, you don't actually need to learn everything in java, just the basics and advance OOP and other link and hashmaps, the real current task is your career, since I'm a java developer I joined android studio so I focused my java into Android studio so I learn native and compatibility and Gradle while design can learn later."
@SearKeliqi,The best advice i ever got.
@heinrichbosch630,Brilliant info - All the best on your journey. God bless.
@bobbyel009,"The code doesn't have to be perfect just useable, and watch out for burn out. Those are the two for me."
@BreakingN3wz,Dude this is an amazing video.... I am a DevOps engineer and I could not agree more
@MajorAzoulay,What you think about AI and the future of developers
@Fun-26th,thank you. your video is good! i hope you have a nice day
@tobechiekechukwu7105,"Hey Pete Thank you sooooo much. You fixed all my dilemmas and fears. So scared of learning code watched a lot of videos, reading books from sitepoint and at the end just couldn't do much. It made me good at reading and understanding code anyway. Thanks pete. Great video."
@hamzaafzal121,"Thank you so much , Sir 😍😍😍!!!"
@abl1699,Good tips. Also one must work towards writing better code as time passes.
@NukArtifact,"Nobody cares about your code, huh? Try to contribute to open source first. Should learn a thing or two."
@sawyer303,"Got profesional programmer for more than 13 year, bro you were 10 in 2012 :)))))"
@flor.1986,Thank you. i am a dev beginner. And a just think to much about how to start. afraid to start...
@SiciidQaran,No one is perfect even
@nine2521,thank u <3
@JodaGe-ty8sj,I dont know how i did learn programming its just like it was there at somepoint
@frankhocza6758,Thank you my new friend. Pure genius. Pure inspiration !!!!!!!!
@pharmokan,if you're on a serious project you'll never get away with pushing code that just works. You'll get belittled by a jerk TA or lead and they'll backstab you at your performance review and you'll get thrown off the project and die from depression.
@veryStupidInternet,"Here's the 10 things:

*You don’t need to know everything
* Learn how to learn (build, don’t just watch)
* Perfection is a trap: ship it anyway
* You’ll never feel ready, start anyway
* The real skill is problem solving, not memorizing
* Nobody cares about code elegance, only results
* Burnout is real, protect your energy
* Value comes from working solutions, not vanity code
* Confidence comes from doing, not waiting
* Productivity is about sustainability, not grinding"
@waltershowalter,"I would say that ""Nobody Cares About Your Code,"" is 40%-75% true. I've worked at firms where people are very nitpicky and where the caliber of coder was 10x at FAANG or/and Ivy League level. So yes, there companies and colleagues that just want it to work but there's a healthy percentage that are very nitpicky about all the small details and look at both sides of the coin."
@Raidom,"Yeah but when you're saying to go for the dev job, do you mean even if they require more experience than I have ?"
@EmadRad-j5f,cool thanks
@enricosci-filive7789,I wish i had known that i was stuck over 5 years...
@ClippyDoesNotStealYourData,Let me give y'all another advice: Learn from low level kernel programmers aka the real chads. Not some web dev that cries on scripting excuse of programming languages.
@patrykbialas9171,thanks man
@MR.Anythingplayable,Thanks p
@wk4240,"Very good points.
Recharging is essential, and something good managers foster."
@VVitchOmen,@5:47 Nobody cares about your code..................unless you're Pirate Software then everyone does
@techinfo2050,daaamn this vid helped a lot ... nobody is ready enough ! to everybody is ready enough to whatever they can
@Loukingree,awesome
@BC-ng8yk,Best tutorial ever! Thx!!
@watherby29,I don't want a job. I want a project
@lncvz,"I started coding in 2021 and I realized that what you told me, I did unconsciously. I really don't know if I did it right or not, I just knew that I had to code and fix the code. Maybe this video helped me understand that coding is not everything. Thank you for bringing this video to help me!!!"
@Stravioska,"5:77 in my job, they care a LOT about my code, you need to make your code nice and fast its just good practice"
@cryoswuff1917,"As someone who frequently has to work on OTHER people's code as my job... i DO APPRECIATE your cleaver and clean code. Same can be said for the plumber. Yes i want my sink working at the end of the day, but when it breaks and I have to fix it as an emergency.... guess who's going to appreciate the effort you put into making things tidy? me

MAINTENANCE MATTERS

Forsake this and whatever you built will eventually crumble to dust.
other than that, good video."
@yordiyes,"i got one point ""you will never feel ready"" ... Thanks"
@darkstofts8279,"You said it best brother after 25 years I still don't feel ready haha , let's hope this helps new Jnr"
@tophalafawy,Burn-out is real I enrolled in a course a year ago almost everyone there had taken a precourse for this course and I was from the few who didn't take it so I entered the course at the start I was one of the best there bur at the end of the year I had a burn out and I stopped studying for the last 1/10 period of the course people who didn't even have half my grades in the middle of the course exam passed me just because I didn't give my self breaks from time to time
@eebiru657,"It’s been 3 months, and I feel stuck in the same loop. Knowing isn’t about memorizing everything; it’s about doing it and enjoying the process. I’m still a 4th-year BSIT student building my 5th app. The capstone project!  Throughout the journey  I learned 5 programming languages (Java, Python, PHP, C++, and JavaScript), and it’s actually fun. I used to think YouTube could help me finish it in one go, but no. Here’s a tip: read the documentation! and Don't be shy using A.I ( not to build the entire app but to learn from it. )"
@ivanandonov,within the first minute i can see why you started creating youtube videos ;)
@okharkovskyi,It took 8 minutes to lose 8 minutes to understand that I've learned that in 10+ years already :D
@gvdherik200,"I am really deep into a burnout right now. I was wondering, how did you manage everything to get out of it? Everything I do just feel so useless and I feel helpless lol. I go to therapy but just saying ""sleep erlier"" doesnt help at all. I always ingore bedtime out of habit. I probably sleep around 3-5 hours a night."
@Cornyone,"man i have spend hours of my life cutting down code to make it look tidy when making my games, but this video actually showed me that i didn't really need to do that. hopefully i dont waste the rest of my life trying to get unnecessary perfection"
@NasirdeenMohammed-b7l,I wish I was told about not writing perfect code earlier
@coolingtigermedia,thanks great advice.
@przemekkobel4874,"This is exact opposite of what corpo gatekeepers throw at you (strict coding practices, documentation in some currently trending format, cloud support even for small scale locally hosted gigs...). Somehow they seem to be scared of code that only one person can fix. Maybe it's just a Polish thing though."
@cesarsuarez1531,Thanks my friend
@beastsportspicks,"Burn out is real, this is golden rest and other stuff outside of work is life saver"
@DonniePotter-uj4uh,"I’m glad I found this, I am 31 and restructuring my life and coding so far has been what’s really helped me."
@fethilakhdari1078,"Great video, and thanks for the honest comments. I have identified some of your issues as also being my own mistakes.
Cheers"
@konstantinselivanov8513,Unfortunately the real job and interviews are not the same where you are expected to know everything.
@zackaraeking2175,All of the above. Hi Just finished my second year. Did only 2 simple projects. A static local website and a usb detector app( Yes it was kinda weak) . I hope i can make sth worth it and maybe sell a project or 2~ But anyways time to code...
@JasonxDev,"Not burning out is crucial. Spent hours after my 9-5 working on my tech startup, causing some insane hemmeroids that still haven't gone away months afterward. And got hit with a layoff. GG me"
@Teji-04,"i just started learning the basicc of web dev with html and css, and i'm doing it on my own. ill need all the motivation and resource and materials i can get. i really want to get it.

these are helpful tips by thr way because i get burned out and frustrated sometimes because i think my progress is slow.😂🙏"
@dorszslowacki8450,"""No one cares what your code looks like, they only cares if it's working."" - that's a half truth. Yes, they may not care about the code per se, but care if you can adapt it to changing requirements without taking ages or messing things up (and I mean real pivots not button color changes). They may also care if they can bring someone else to help on short notice, because the timelines changed. That's when keeping the code clean and maintainable pays off. You will indeed hardly ever get paid for doing it, but doing it will help you stay in demand."
@BelovedJohnKalu,"I'm so grateful I watched this before I had gone too far into coding 😊 
Thanks so much for the advice 🙏"
@JohanTheMadKing,"Please you have to make a video about using ai in coding, for all developers levels ( junior to senior ). I have to know what is the actual POV of a senior about that"
@shanzayahmed3890,Well I am currently learning how to code I am only 16 right now so by age of 24 I hope I have gain 8 years of experience.I started coding for money and right now only learned html and I am invested in it I love it.Besides these points does anyone has more pointers.....for future
@Jessee2252,You're never ready start anyway I just love that statement thank you very much
@Murat-u9h,"What would you do if your boss gives a job with 3 weeks deadlines, but the actual job needs 3 months? how would you protect your brain?"
@capitalslowedupcity,"thanks for advice, i wish someone said this to me 7 years ago"
@shovell_priv,How do I solve the issue of me having motivation to learn once a month
@kirill.leontovich,"No! I write perfect code all the time! Even if it fails, it fails perfectly!😂"
@PButterReeseGaming,7:29 The piece of art behind you just randomly fell over… You either have a cat or ghost 😰
@alphatalee,"you will be never ready, start anyway and burnout is real (thanks for advice)"
@BobbyBulldozer,"Good Video. One other thing I learned is that forgetting is also real. It is also why it is better to focus on practical solutions, rather than just learning lots of things. I am experimenting with making notes with Obsidian, maybe it will help me with the next job interview."
@Leyleychi,I'm on my last year of my vocational education of software development ;-; I started doubting my own skills like a month ago and I've felt kinda crappy due to the doubting... This honestly eased my mind surprisingly a lot. Thank you for this!I'll keep doing my best to one day thrive as a software developer! <3
@miroslavpetrov3006,"No, bro, do not teach them about #6, it is bad, man, trust me"
@KMZ__malayali2,Yo bro i am beginner like don't know how to code and tryna learn at age of 15 and can u suggest me a video and best app to use with mobile and laptop and I likes ur video. Ur giving so much motivation
@Kucozwasi,"Whoops! Got my developer sickness solved.

Thank you Pete."
@mrinmoyeegoswami5783,I can truly related at every point u discussed. Very impressive 😊😊
@a.z.b.1916,"Here is one more advice. Don't think you can stick to one technology all the time.
On every project you will be required to do something that is out of your comfort zone. 
You wont be able to get away just saying: ""sorry I am a FE dev, I dont do deployments....""
Truth is that most project are moving towards devops engineering where you will be required to do everything, including FE, BE, CI/CD, writing professional documentation,  discuss development strategies with client while also recommending solutions that can save them more money, handling clusters and production database, writing automated tests and much more.
And if you not fancy any of these you will definitely be in the next wave of roll offs"
@BreadCrumbs-v1h,I realized I know most of these by making games for fun. You instilled confidence in me that I am not wasting my time.
@jeremyrivera6177,Pete I've been struggling for years now and I thank you for the advice and encouragement greatly. I hope to develop indie titles someday and am overwhelmed by how rapidly everything advances.
@kira4036,Oh wow a positive video about coding for once. Thank you for the advice
@olawolefemi7155,This video is more loaded than eny videos I've ever watched this year
@Hadescucumber,This has really changed my view on learning to code thanks so much!!!
